scorer,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000
bodyparts,Up,Up,Up,Down,Down,Down,Left,Left,Left,Right,Right,Right
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-6.0155181884765625,-6.704585075378418,0.0009218582417815924,-3.755110263824463,-19.2448787689209,0.00040611621807329357,-10.512991905212402,-15.312034606933594,0.00013247632887214422,-3.465102195739746,-16.954423904418945,0.0002791417355183512
1,-6.0155181884765625,-6.704586029052734,0.0009218577761203051,-3.755110263824463,-19.2448787689209,0.00040611642180010676,-10.512992858886719,-15.312036514282227,0.00013247632887214422,-3.465102195739746,-16.954425811767578,0.0002791417355183512
2,-6.0155181884765625,-6.704586029052734,0.0009218582417815924,-3.755110263824463,-19.24488067626953,0.00040611621807329357,-10.512992858886719,-15.312036514282227,0.00013247632887214422,-3.465102195739746,-16.954425811767578,0.0002791414735838771
3,-6.0155181884765625,-6.704586029052734,0.0009218577761203051,-3.755110263824463,-19.24488067626953,0.00040611583972349763,-10.512992858886719,-15.312036514282227,0.00013247619790490717,-3.465102195739746,-16.954425811767578,0.0002791414735838771
4,-6.0155181884765625,-6.704586029052734,0.0009218582417815924,-3.755110263824463,-19.24488067626953,0.00040611583972349763,-10.512992858886719,-15.312036514282227,0.00013247619790490717,-3.465102195739746,-16.954425811767578,0.0002791414735838771
5,-6.015517234802246,-6.704586029052734,0.0009218577761203051,-3.755110263824463,-19.244882583618164,0.0004061160434503108,-10.512992858886719,-15.312034606933594,0.00013247632887214422,-3.465102195739746,-16.954425811767578,0.0002791417355183512
6,-6.015517234802246,-6.704586029052734,0.0009218582417815924,-3.755110263824463,-19.244882583618164,0.0004061160434503108,-10.512992858886719,-15.312034606933594,0.00013247632887214422,-3.4651031494140625,-16.954425811767578,0.0002791417355183512
7,-6.0155181884765625,-6.704586029052734,0.0009218577761203051,-3.7551112174987793,-19.24488067626953,0.00040611583972349763,-10.512992858886719,-15.312034606933594,0.00013247632887214422,-3.4651031494140625,-16.954425811767578,0.0002791414735838771
8,-6.015517234802246,-6.704586029052734,0.0009218577761203051,-3.7551112174987793,-19.24488067626953,0.00040611583972349763,-10.512993812561035,-15.312036514282227,0.00013247632887214422,-3.4651031494140625,-16.95442771911621,0.0002791414735838771
9,-6.0155181884765625,-6.704586029052734,0.0009218577761203051,-3.7551112174987793,-19.24488067626953,0.00040611563599668443,-10.512993812561035,-15.312036514282227,0.00013247645983938128,-3.4651031494140625,-16.95442771911621,0.0002791417355183512
10,-6.0155181884765625,-6.704585075378418,0.0009218582417815924,-3.7551112174987793,-19.24488067626953,0.00040611621807329357,-10.512993812561035,-15.312036514282227,0.00013247632887214422,-3.4651031494140625,-16.95442771911621,0.0002791417355183512
11,-6.0155181884765625,-6.704585075378418,0.0009218577761203051,-3.7551112174987793,-19.24488067626953,0.0004061160434503108,-10.512993812561035,-15.312036514282227,0.00013247632887214422,-3.4651031494140625,-16.95442771911621,0.0002791417355183512
12,-6.0155181884765625,-6.704585075378418,0.0009218582417815924,-3.7551112174987793,-19.24488067626953,0.0004061160434503108,-10.512993812561035,-15.312034606933594,0.00013247619790490717,-3.4651031494140625,-16.954425811767578,0.0002791414735838771
13,-6.015519142150879,-6.704586029052734,0.0009218573686666787,-3.7551112174987793,-19.24488067626953,0.0004061160434503108,-10.512993812561035,-15.312034606933594,0.00013247632887214422,-3.465104103088379,-16.954425811767578,0.0002791417355183512
14,-6.015519142150879,-6.704585075378418,0.0009218577761203051,-3.7551112174987793,-19.24488067626953,0.0004061160434503108,-10.512993812561035,-15.312034606933594,0.00013247632887214422,-3.465104103088379,-16.954425811767578,0.0002791414735838771
15,-6.0155181884765625,-6.704585075378418,0.0009218573686666787,-3.7551112174987793,-19.24488067626953,0.00040611563599668443,-10.512993812561035,-15.312034606933594,0.00013247632887214422,-3.465104103088379,-16.954425811767578,0.0002791414735838771
16,-6.0155181884765625,-6.704585075378418,0.0009218582417815924,-3.7551112174987793,-19.24488067626953,0.00040611642180010676,-10.512993812561035,-15.312036514282227,0.00013247632887214422,-3.465104103088379,-16.95442771911621,0.0002791417355183512
17,-6.015517234802246,-6.704586029052734,0.0009218577761203051,-3.7551112174987793,-19.24488067626953,0.0004061160434503108,-10.512993812561035,-15.312036514282227,0.00013247632887214422,-3.465104103088379,-16.95442771911621,0.0002791414735838771
18,-6.015517234802246,-6.704585075378418,0.0009218573686666787,-3.7551112174987793,-19.24488067626953,0.00040611563599668443,-10.512993812561035,-15.312036514282227,0.00013247619790490717,-3.4651031494140625,-16.954425811767578,0.0002791414735838771
19,-6.015517234802246,-6.704586029052734,0.0009218577761203051,-3.7551112174987793,-19.24488067626953,0.00040611583972349763,-10.512993812561035,-15.312036514282227,0.00013247619790490717,-3.465102195739746,-16.954425811767578,0.0002791414735838771
20,-6.0155181884765625,-6.704586982727051,0.0009218582417815924,-3.7551112174987793,-19.24488067626953,0.00040611642180010676,-10.512991905212402,-15.312036514282227,0.00013247645983938128,-3.4651031494140625,-16.954425811767578,0.0002791417355183512
21,-6.015517234802246,-6.704586029052734,0.0009218577761203051,-3.755110263824463,-19.24488067626953,0.00040611583972349763,-10.512991905212402,-15.312036514282227,0.00013247632887214422,-3.4651031494140625,-16.954425811767578,0.0002791417355183512
22,-6.0155181884765625,-6.704586982727051,0.0009218577761203051,-3.755110263824463,-19.24488067626953,0.00040611583972349763,-10.512991905212402,-15.312036514282227,0.00013247632887214422,-3.4651031494140625,-16.954425811767578,0.0002791417355183512
23,-6.0155181884765625,-6.704586982727051,0.0009218582417815924,-3.7551112174987793,-19.24488067626953,0.0004061160434503108,-10.512991905212402,-15.312036514282227,0.00013247632887214422,-3.4651031494140625,-16.954425811767578,0.0002791417355183512
