scorer,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000
bodyparts,Up,Up,Up,Down,Down,Down,Left,Left,Left,Right,Right,Right
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1145.718543291092,131.28217089176178,0.15578734874725342,1099.255903661251,352.3537366390228,0.3987025320529938,1121.9316759109497,531.1989712119102,0.33810290694236755,1154.5517399311066,346.81826663017273,0.1873210072517395
1,1180.2031888067722,328.31093668937683,0.24331294000148773,1126.3214478492737,691.0534306168556,0.5987032651901245,1121.9316759109497,544.9620397090912,0.3242662250995636,1187.7286641597748,346.81826663017273,0.30643460154533386
2,1185.8876655101776,328.31093668937683,0.21914656460285187,1126.3214478492737,691.0534306168556,0.6035727858543396,1121.9316759109497,544.9620397090912,0.3646772503852844,1188.9371961951256,346.81826663017273,0.3251917362213135
3,1185.8876655101776,328.31093668937683,0.15974555909633636,1126.3214478492737,680.4198269844055,0.6154475808143616,1121.9316759109497,531.1989712119102,0.33109042048454285,1188.9371961951256,331.6625079214573,0.28204625844955444
4,1180.2031888067722,328.31093668937683,0.17083531618118286,1123.950596652925,681.5611836910248,0.48499494791030884,1120.8240795135498,482.38605308532715,0.40729188919067383,1188.9371961951256,321.50426030158997,0.2492445707321167
5,1175.0425207614899,147.4713579416275,0.14527511596679688,1118.4583644866943,680.4198269844055,0.5140177607536316,1120.5021023750305,464.9375431537628,0.3904208540916443,1183.9258518218994,321.50426030158997,0.3205431401729584
6,1169.0246572494507,114.7663711309433,0.34526219964027405,1097.917109966278,680.4198269844055,0.4266607165336609,1101.7028399705887,464.9375431537628,0.3376587927341461,1173.1915858983994,321.50426030158997,0.3892182409763336
7,1155.8662324547768,114.7663711309433,0.3868529200553894,1078.520456314087,673.7603724002838,0.5398284196853638,1073.2959613800049,451.83132742345333,0.3804599642753601,1157.111098766327,323.8228932619095,0.2731894552707672
8,1146.7339262962341,99.13365972042084,0.3541804254055023,1050.4064259529114,672.2506999969482,0.20484693348407745,1054.98606467247,451.83132742345333,0.40173089504241943,1126.7335364818573,389.5734362602234,0.3359336853027344
9,1128.9550380706787,84.191435277462,0.29493096470832825,1050.2253540754318,664.2585430145264,0.4440036416053772,1054.21990275383,464.9375431537628,0.3887806534767151,1107.548326253891,390.09944128990173,0.2574383616447449
10,1098.176949262619,84.19353277981281,0.2846738398075104,1027.8290172368288,664.2585430145264,0.6927269697189331,1022.4879672527313,497.7021117210388,0.4086972177028656,1078.6753287315369,404.30388429760933,0.278912216424942
11,1096.1294107437134,83.68321797251701,0.3388846218585968,1020.9007307291031,664.2585430145264,0.38958126306533813,1006.4743044376373,482.10202383995056,0.40241315960884094,1076.3478944599628,404.30388429760933,0.24997836351394653
12,1080.3416028022766,84.19353277981281,0.28952842950820923,1010.706317782402,669.4718809127808,0.4237491488456726,997.822274684906,482.10202383995056,0.3940775394439697,1063.6069881916046,418.6940027475357,0.2553015649318695
13,1074.1272339820862,84.19353277981281,0.3361157178878784,999.8623576164246,684.5587706565857,0.613063395023346,993.1603155136108,497.7021117210388,0.4057644307613373,1046.0086345672607,420.8735880255699,0.26564016938209534
14,1061.9600484371185,97.8046202659607,0.24165812134742737,993.3495094776154,687.5260848999023,0.7048176527023315,990.3379926681519,498.0244756937027,0.36416348814964294,1044.637899518013,452.10073602199554,0.40735533833503723
15,1044.6953340768814,131.21878224611282,0.4012179672718048,986.5171208381653,694.3111727237701,0.42864495515823364,990.3379926681519,482.10202383995056,0.40837225317955017,1026.672828912735,452.10073602199554,0.30283480882644653
16,1042.4332729578018,147.04376924037933,0.4012433886528015,984.920355796814,700.1079978942871,0.6572277545928955,978.9753984212875,514.1799997091293,0.354070782661438,1025.2664306163788,458.25964188575745,0.330196350812912
17,1042.1902339458466,147.88081361353397,0.4646506607532501,983.7807428836823,701.5295658111572,0.7131450176239014,976.8547315597534,515.9147313460708,0.4182049334049225,1023.5952715873718,480.6321005821228,0.33584803342819214
18,1032.817207813263,180.74795770645142,0.35299935936927795,976.3700444698334,721.8553948402405,0.6581138968467712,976.5924897193909,546.5082330703735,0.3556898236274719,1009.8838412761688,480.6321005821228,0.2764793932437897
19,1029.917597770691,192.91916036605835,0.4032720923423767,971.9408257119358,744.3890845775604,0.39974066615104675,970.4348087310791,597.4647098779678,0.34228232502937317,994.0294098854065,593.6418359279633,0.30997148156166077
20,1028.6803157925606,194.80159270763397,0.42521506547927856,969.2688822746277,749.4163074493408,0.5262661576271057,968.5435800552368,598.7369222640991,0.32677361369132996,991.2315402030945,603.1925656199455,0.30821335315704346
21,1028.1470457166433,210.49810028076172,0.45070669054985046,966.2874846458435,756.1153153926134,0.5680994987487793,966.7095873355865,611.2421092391014,0.43293842673301697,989.2596044540405,656.3916344642639,0.28790345788002014
22,1027.5117386877537,210.98714673519135,0.4658368229866028,966.2874846458435,756.1153153926134,0.4931577146053314,966.7095873355865,611.2421092391014,0.4004765748977661,983.5915267467499,640.6193964481354,0.23379579186439514
23,1027.3939819931984,211.0075449347496,0.5212927460670471,962.4582732915878,758.6557431221008,0.527824342250824,966.7095873355865,611.2421092391014,0.3482237458229065,983.7238054275513,640.6193964481354,0.2497481256723404
24,1023.0931029319763,241.94008016586304,0.4209158420562744,960.2685194015503,764.22993516922,0.5141214728355408,960.3595585823059,636.124662026763,0.3674054443836212,983.5915267467499,642.2226532697678,0.26656123995780945
25,1023.0931029319763,243.14607107639313,0.5127824544906616,960.2685194015503,764.22993516922,0.46495699882507324,958.9972858428955,641.7542788982391,0.35710498690605164,982.3824596405029,642.6320525407791,0.2601710557937622
