scorer,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000,DLC_resnet152_TFG Guillermo OtsDec18shuffle1_15000
bodyparts,Up,Up,Up,Down,Down,Down,Left,Left,Left,Right,Right,Right
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,806.1385877132416,212.41462591290474,0.5297476053237915,931.2654576301575,219.24015420675278,0.2641603648662567,900.8124906420708,589.3605154752731,0.3346784710884094,928.6725058555603,592.3124268054962,0.2656594216823578
1,812.4707517027855,225.01055645942688,0.4056956171989441,931.2654576301575,558.6776876449585,0.37709105014801025,910.2465777397156,589.3605154752731,0.3138076961040497,930.1112500429153,592.3124268054962,0.2650785446166992
2,911.6267960071564,472.11838459968567,0.33770933747291565,931.2654576301575,558.6776876449585,0.18082252144813538,910.2465777397156,589.3605154752731,0.3626095652580261,930.1112500429153,592.3124268054962,0.2181796133518219
3,812.4707517027855,472.11838459968567,0.3240717947483063,920.8559923171997,773.1746398210526,0.2739602029323578,902.9633388519287,553.5444872379303,0.28127264976501465,928.6725058555603,603.5884836018085,0.22958879172801971
4,812.4707517027855,780.6127677559853,0.1580355018377304,919.7050454616547,785.1820294857025,0.3343280553817749,902.9633388519287,474.93253350257874,0.2624024450778961,924.5150452256203,605.5234456062317,0.1884971261024475
5,911.6267960071564,773.671205163002,0.2221260964870453,918.4249017238617,783.4712600708008,0.23382125794887543,906.3434562683105,470.4461829662323,0.1315607726573944,924.5150452256203,692.3411725759506,0.10310398042201996
6,911.6267960071564,472.11838459968567,0.2892150282859802,918.0748946666718,783.4712600708008,0.407903254032135,906.3434562683105,469.0801899433136,0.26984554529190063,924.5150452256203,765.0755228996277,0.2145295888185501
7,784.9621956348419,245.83759903907776,0.2783912122249603,918.0748946666718,783.4712600708008,0.4113810658454895,906.516116142273,469.0801899433136,0.28568583726882935,926.4975752830505,765.0755228996277,0.2036844789981842
8,785.3733355998993,235.72743305563927,0.3118462860584259,916.4618528187275,769.3823699951172,0.4532957375049591,907.7729865163565,470.46288537979126,0.29585903882980347,926.8968777656555,765.0755228996277,0.21134315431118011
9,785.3733355998993,230.44824290275574,0.35526350140571594,916.4618528187275,769.3823699951172,0.40113595128059387,907.7729865163565,469.0801899433136,0.27069276571273804,926.8968777656555,476.16279880702496,0.197704017162323
10,785.3733355998993,229.86020863056183,0.3410554826259613,916.2805323302746,767.4340071678162,0.384017676115036,907.7729865163565,470.46288537979126,0.184794083237648,926.4975752830505,476.16279880702496,0.1895093321800232
11,787.506543636322,228.27534985542297,0.5152645111083984,916.2805323302746,767.2810406684875,0.2925616204738617,915.3825585842133,603.0596707463264,0.2260388433933258,926.8968777656555,476.16279880702496,0.2185172587633133
12,788.5875810980797,228.27534985542297,0.4375537037849426,916.4618528187275,767.2810406684875,0.32284170389175415,920.5763113498688,603.0596707463264,0.19990336894989014,943.80224609375,539.1123391389847,0.13944558799266815
13,794.0038861036301,228.27534985542297,0.3764928877353668,931.1063365936279,765.938880443573,0.3817983865737915,921.4588899612427,603.0596707463264,0.3867388963699341,943.80224609375,539.1123391389847,0.23017118871212006
14,935.1012897491455,326.86192893981934,0.26250550150871277,931.382531285286,757.0135680437088,0.3760809004306793,921.4633541107178,603.0596707463264,0.3142084777355194,948.4858334064484,539.1123391389847,0.26253190636634827
15,948.5150507092476,326.86192893981934,0.25835371017456055,934.3178005218506,757.0135680437088,0.41382139921188354,921.4633541107178,599.2646906375885,0.29343336820602417,953.5636563301086,529.3886232376099,0.2124851644039154
16,953.7013573646545,326.86192893981934,0.30195382237434387,934.5183508396149,757.0135680437088,0.3499007821083069,921.4588899612427,523.1355039477348,0.3663451075553894,960.1688044071198,514.0052160024643,0.25137829780578613
17,964.8329575061798,167.23395538330078,0.3688894808292389,938.8051369190216,757.0135680437088,0.26066333055496216,920.1589522361755,514.0269770622253,0.3182724118232727,963.3338260650635,500.769544005394,0.3662475645542145
18,967.1046986579895,161.81784510612488,0.43888455629348755,939.8031291216612,757.0135680437088,0.20317135751247406,920.1589522361755,510.5764298439026,0.3951584994792938,974.748019695282,500.769544005394,0.3116787075996399
19,967.7287573814392,157.65717673301697,0.4214078485965729,939.8031291216612,742.012350320816,0.1792946308851242,920.1589522361755,514.0269770622253,0.3282262086868286,976.9213171005249,500.769544005394,0.2602737247943878
20,968.0306866168976,157.65717673301697,0.35295775532722473,966.7560033798218,742.012350320816,0.19876834750175476,920.1589522361755,514.0269770622253,0.3573763370513916,985.0927596092224,483.84028443694115,0.3336885869503021
21,967.7287573814392,157.65717673301697,0.26801201701164246,966.7560033798218,519.0121500492096,0.14556345343589783,920.5739607810974,514.0269770622253,0.35159778594970703,985.9396448135376,463.21100664138794,0.3143268823623657
22,967.7287573814392,151.81582808494568,0.31127986311912537,926.6604096889496,742.012350320816,0.13274818658828735,921.5989036560059,515.250083565712,0.37335002422332764,991.2718601226807,450.4111098051071,0.3218705952167511
23,967.5396041870117,151.05018782615662,0.41638925671577454,926.6604096889496,742.012350320816,0.1702689379453659,920.5739607810974,515.250083565712,0.36891111731529236,991.8746480941772,447.5147614479065,0.2961389422416687
24,965.1924805641174,151.05018782615662,0.430900901556015,964.3601531386375,725.2704850435257,0.2382519394159317,920.5739607810974,516.8963493704796,0.3721282184123993,996.7040981650352,354.01099944114685,0.2740725576877594
25,964.0114455725998,150.84560441970825,0.4884479343891144,962.4870233535767,722.6408705711365,0.21519050002098083,920.5739607810974,513.8737592697144,0.29347339272499084,991.8746480941772,434.72951662540436,0.31138545274734497
26,963.6670307219028,147.24690639972687,0.5840599536895752,962.4870233535767,722.6408705711365,0.36197561025619507,920.0829834938049,485.64175510406494,0.2763560116291046,991.2718601226807,434.72951662540436,0.31878748536109924
